"id","aggregation_level","parent_type","parent_id","aggregation_level_value","metric","value","difference_from_previous_value","is_positive_value","created_at","updated_at","aggregation_index","aggregation_value_to_display"
1961265,"monthly","Impl::Output",1031251,"2016_February","value",183820,,,"2016-02-05 17:54:16.264017","2016-02-05 17:54:16.264017",1,"February"
1961323,"monthly","Impl::Output",1031308,"2016_February","value",1651,,,"2016-02-05 17:54:17.321816","2016-02-05 17:54:17.321816",1,"February"
1961326,"monthly","Impl::Output",1031310,"2016_February","value",754,,,"2016-02-05 17:54:17.347231","2016-02-05 17:54:17.347231",1,"February"
1961343,"monthly","Impl::Output",1031326,"2016_February","value",1282,,,"2016-02-05 17:54:17.497362","2016-02-05 17:54:17.497362",1,"February"
1961344,"monthly","Impl::Output",1031327,"2016_February","value",1101,,,"2016-02-05 17:54:17.521432","2016-02-05 17:54:17.521432",1,"February"
1961387,"monthly","Impl::Output",1031370,"2016_February","value",13352,,,"2016-02-05 17:54:17.930609","2016-02-05 17:54:17.930609",1,"February"
1961426,"monthly","Impl::Output",1031409,"2016_February","value",50,,,"2016-02-05 17:54:18.341719","2016-02-05 17:54:18.341719",1,"February"
1961482,"monthly","Impl::Output",1031465,"2016_February","value",776,,,"2016-02-05 17:54:18.873554","2016-02-05 17:54:18.873554",1,"February"
1961615,"monthly","Impl::Output",1031599,"2016_February","value",13531,,,"2016-02-05 17:54:20.043194","2016-02-05 17:54:20.043194",1,"February"
1961640,"monthly","Impl::Output",1031623,"2016_February","value",63025,,,"2016-02-05 17:54:20.299801","2016-02-05 17:54:20.299801",1,"February"
1961644,"monthly","Impl::Output",1031627,"2016_February","value",1729,,,"2016-02-05 17:54:20.346672","2016-02-05 17:54:20.346672",1,"February"
1961689,"monthly","Impl::Output",1031678,"2016_February","value",8356,,,"2016-02-05 17:54:20.696218","2016-02-05 17:54:20.696218",1,"February"
1961722,"monthly","Impl::Output",1031704,"2016_February","value",37755,,,"2016-02-05 17:54:20.928245","2016-02-05 17:54:20.928245",1,"February"
1961752,"monthly","Impl::Output",1031734,"2016_February","value",2967,,,"2016-02-05 17:54:21.13201","2016-02-05 17:54:21.13201",1,"February"
1961795,"monthly","Impl::Output",1031778,"2016_February","value",4099,,,"2016-02-05 17:54:21.478282","2016-02-05 17:54:21.478282",1,"February"
1961848,"monthly","Impl::Output",1031831,"2016_February","value",9625,,,"2016-02-05 17:54:21.86423","2016-02-05 17:54:21.86423",1,"February"
1961893,"monthly","Impl::Output",1031875,"2016_February","value",60,,,"2016-02-05 17:54:22.23229","2016-02-05 17:54:22.23229",1,"February"
1961899,"monthly","Impl::Output",1031881,"2016_February","value",57,,,"2016-02-05 17:54:22.282071","2016-02-05 17:54:22.282071",1,"February"
1961909,"monthly","Impl::Output",1031889,"2016_February","value",20,,,"2016-02-05 17:54:22.338601","2016-02-05 17:54:22.338601",1,"February"
1961965,"monthly","Impl::Output",1031948,"2016_February","value",83497,,,"2016-02-05 17:54:22.813322","2016-02-05 17:54:22.813322",1,"February"
1962071,"monthly","Impl::Output",1032057,"2016_February","value",30271,,,"2016-02-05 17:54:23.632739","2016-02-05 17:54:23.632739",1,"February"
1962283,"monthly","Impl::Output",1032265,"2016_February","value",13017,,,"2016-02-05 17:54:25.440808","2016-02-05 17:54:25.440808",1,"February"
1962452,"monthly","Impl::Output",1032435,"2016_February","value",705,,,"2016-02-05 17:54:26.790986","2016-02-05 17:54:26.790986",1,"February"
1962509,"monthly","Impl::Output",1032491,"2016_February","value",91,,,"2016-02-05 17:54:27.275394","2016-02-05 17:54:27.275394",1,"February"
1962566,"monthly","Impl::Output",1032551,"2016_February","value",36314,,,"2016-02-05 17:54:27.747532","2016-02-05 17:54:27.747532",1,"February"
1962582,"monthly","Impl::Output",1032565,"2016_February","value",295,,,"2016-02-05 17:54:27.828888","2016-02-05 17:54:27.828888",1,"February"
