"id","data_set_id","created_by","updated_by","created_at","updated_at","status","error_messages","impl_aggregation_id","name"
37,"91956",,,"2015-11-27 21:39:25.794911","2015-11-27 21:39:25.794911","In queue","",,"91956_L_Es_BibCatalunya_fulletsAB"
38,"91996",,,"2015-11-27 21:39:25.862068","2015-11-27 21:39:25.862068","In queue","",,"91996_L_Es_BibCatalunya_IGuerraMuAB"
39,"91959",,,"2015-11-27 21:39:25.895754","2015-11-27 21:39:25.895754","In queue","",,"91959_L_Es_BibCatalunya_incunableAB"
45,"91947",,,"2015-11-27 21:39:26.976731","2015-11-27 21:39:26.976731","In queue","",,"91947_L_Es_BibCatalunya_abertrana"
64,"09317",,,"2015-11-27 21:39:27.79856","2015-11-27 21:39:27.79856","In queue","",,"09317_Ag_EU_Judaica_Museo_Sefardi_Toledo"
77,"92078",,,"2015-11-27 21:39:28.184358","2015-11-27 21:39:28.184358","In queue","",,"92078_Ag_EU_TEL_a1030_EuropanaRegia"
100,"2048340",,,"2015-11-27 21:39:29.122329","2015-11-27 21:39:29.122329","In queue","",,"2048340_Ag_EU_ApeX_ESD706"
2,"2022701",,,"2015-11-27 21:38:36.752377","2015-11-27 21:38:36.752377","In queue","",,"2022701c_Ag_ES_Hispana_esegen2"
3,"2022701",,,"2015-11-27 21:38:37.148787","2015-11-27 21:38:37.148787","In queue","",,"2022701d_Ag_ES_Hispana_esegen"
5,"2022701",,,"2015-11-27 21:39:02.306413","2015-11-27 21:39:02.306413","In queue","",,"2022701b_Ag_ES_Hispana_esegen1"
6,"2048008",,,"2015-11-27 21:39:02.475214","2015-11-27 21:39:02.475214","In queue","",,"2048008_Ag_EU_AthenaPlus_AjuntamentGirona"
7,"2024914",,,"2015-11-27 21:39:02.506955","2015-11-27 21:39:02.506955","In queue","",,"2024914_Ag_EU_EuropeanaPhotography_Girona_1019"
8,"2058201",,,"2015-11-27 21:39:02.806072","2015-11-27 21:39:02.806072","In queue","",,"2058201_AG_ES_CIB_MFM"
9,"9200233",,,"2015-11-27 21:39:03.570165","2015-11-27 21:39:03.570165","In queue","",,"9200233_Ag_EU_TEL_a1199_GobiernoVasco"
10,"919119",,,"2015-11-27 21:39:03.575329","2015-11-27 21:39:03.575329","In queue","",,"919119_L_Es_BibCatalunya_Barcelona_pergamiBC"
11,"9200285",,,"2015-11-27 21:39:03.59945","2015-11-27 21:39:03.59945","In queue","",,"9200285_Ag_EU_TEL_a1213_GobiernoVasco"
12,"91907",,,"2015-11-27 21:39:03.606441","2015-11-27 21:39:03.606441","In queue","",,"91907_L_ES_BibCatalunya_bcsalvany"
13,"9200287",,,"2015-11-27 21:39:03.632083","2015-11-27 21:39:03.632083","In queue","",,"9200287_Ag_EU_TEL_a1215_GobiernoVasco"
