name,slug,description,img_small,img_data_mapping,api,sort_order,genre,combination_code,source,file_path,map
Percentage Bar,percentage-bar,"Percentage Bar charts represents a single superset of data, with each subset being visualised as a percentage section of area of the bar. All sections of the bar add up to 100%. Like all other one dimensional charts, percentage bar charts allow for only a single colour to be used for all segments and only upto one specific segment to be highlighted in a different colour/hue",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/per-bar.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.1d.png,PykCharts.oneD.percentageBar,10,One Dimensional Charts,9b40a2,public/PykCharts/src/js/oneD/oneD.js,public/PykCharts/src/js/oneD/percentageBar.js,"{""dimensions_required"":1,""metrics_required"":1,""dimensions_alias"":[""name""],""metrics_alias"":[""weight""]}"
Line,line,"Line charts are used to depict a set of data points ('markers') connected by line segments (straight or smooth) in order to show the change in data points value (usually measured with the Y axis) over a fixed range of ordinal or interval data (time, date, increasing temperature, etc. measured with the X axis). A line chart is primarily used to establish and/or analyse behaviour trend of data with respect to changing ordinal or interval data",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/line.png, https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.line.png,PykCharts.multiD.line,1,Multi Dimensional Charts,5b5f26,public/PykCharts/src/js/multiD/multiD.js,public/PykCharts/src/js/multiD/lineChart.js,"{""dimensions_required"":1,""metrics_required"":1,""dimensions_alias"":[""x""],""metrics_alias"":[""y""]}"
Multi-series Line,multi-series-line,Sometimes we wish to visualise the trend based behaviour of several data sets against a common ordinal/ interval data range. In such cases a multi-series line offers insight into both the trend behaviour and comparison between trend behaviour for different data sets,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/multi-line.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.multi-series.line.png,PykCharts.multiD.multiSeriesLine,2,Multi Dimensional Charts,f80d2e,public/PykCharts/src/js/multiD/multiD.js,public/PykCharts/src/js/multiD/lineChart.js,"{""dimensions_required"":2,""metrics_required"":1,""dimensions_alias"":[""x"",""name""],""metrics_alias"":[""y""]}"
Panel of Lines,panel-of-lines,"If we wish to visualise more than 4-5 line charts, putting all of them int a single chart causes it to quickly become cluttered. In such a situation it serves us best to create panels of single line charts that allows us to prevent excessive clutter and still derive the relevant insights from the data sets",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/line-panel.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.multi-series.line.png,PykCharts.multiD.panelsOfLine,3,Multi Dimensional Charts,839820,public/PykCharts/src/js/multiD/multiD.js,public/PykCharts/src/js/multiD/lineChart.js,"{""dimensions_required"":2,""metrics_required"":1,""dimensions_alias"":[""x"",""name""],""metrics_alias"":[""y""]}"
Bar,bar,"Bar charts utilise sets of horizontal rectangular segments with lengths proportional to the magnitude of data they represent. They may be used to represent and compare nominal/categorical or ordinal data. Bar charts can be seen as a simplification of histograms. While histograms are used to represent continuous data sets, bar charts are used to represent discrete data sets",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/bar.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.bar.png,PykCharts.multiD.bar,4,Multi Dimensional Charts,e3fe0c,public/PykCharts/src/js/multiD/multiD.js,public/PykCharts/src/js/multiD/barChart.js,"{""dimensions_required"":1,""metrics_required"":1,""dimensions_alias"":[""y""],""metrics_alias"":[""x""]}"
Grouped Bar,grouped-bar,"A grouped bar chart is great when you have multiple data sets of a similar nature and wish to visualise all of them against an ordinal or categorical data range on a single chart. Just like a simple bar chart, the magnitude of data is visualised in terms of the length of the horizontal rectangular bars",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/grouped-bar.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.bar.png,PykCharts.multiD.groupedBar,5,Multi Dimensional Charts,a9c612,public/PykCharts/src/js/multiD/multiD.js,public/PykCharts/src/js/multiD/barChart.js,"{""dimensions_required"":2,""metrics_required"":1,""dimensions_alias"":[""y"",""group""],""metrics_alias"":[""x""]}"
Column,column,Column charts are similar to bar charts. The only difference is that they use vertically oriented rectangular segments to represent the magnitude of data they represent (in terms of length of the rectangular segments). They may be used to represent and compare nominal/categorical or ordinal data,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/column.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.column.png,PykCharts.multiD.column,6,Multi Dimensional Charts,c7ba4b,public/PykCharts/src/js/multiD/multiD.js,public/PykCharts/src/js/multiD/columnChart.js,"{""dimensions_required"":1,""metrics_required"":1,""dimensions_alias"":[""x""],""metrics_alias"":[""y""]}"
Grouped Column,grouped-column,Grouped Column Charts are used to represent multiple data sets as vertical columns grouped over an ordinal or categorical data range on a single chart. The magnitude of data being visualised is proportional to length of the rectangular column segments,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/grouped-column.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.column.png,PykCharts.multiD.groupedColumn,7,Multi Dimensional Charts,f3ef28,public/PykCharts/src/js/multiD/multiD.js,public/PykCharts/src/js/multiD/columnChart.js,"{""dimensions_required"":2,""metrics_required"":1,""dimensions_alias"":[""x"",""group""],""metrics_alias"":[""y""]}"
Area,area,"Area charts are similar to line charts wherein a set of data points ('markers') are connected by line segments (straight or smooth) in order to show the change in data points value. However, they offer insight not only into the trend behaviour of the data being visualised, but also allow one to see the area under the curve/line segments. This is especially useful when both the data represented by the line and the area carved out by the line offer important insight into the data set (such as when representing cumulative totals over time)",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/area.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.area.png,PykCharts.multiD.area,8,Multi Dimensional Charts,b83ec4,public/PykCharts/src/js/multiD/multiD.js,public/PykCharts/src/js/multiD/areaChart.js,"{""dimensions_required"":1,""metrics_required"":1,""dimensions_alias"":[""x""],""metrics_alias"":[""y""]}"
Stacked Area,stacked-area,Stacked area charts allows one to visualise multiple area charts on a single plot. This allows for comparison between trend behaviour and area under the line/curve for multiple datasets. Stacked area charts are similar to multi-line series but offer an additional data insight in the form of area carved out under the line segment/curve,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/stacked-area.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.multi-area.png,PykCharts.multiD.stackedArea,9,Multi Dimensional Charts,538f81,public/PykCharts/src/js/multiD/multiD.js,public/PykCharts/src/js/multiD/areaChart.js,"{""dimensions_required"":2,""metrics_required"":1,""dimensions_alias"":[""x"",""name""],""metrics_alias"":[""y""]}"
