dc.title,dc.contributor.author,dc.contributor,dc.contributor.editor,dc.subject.frascati,dc.subject.free,dc.description,dc.publisher,dc.date,dc.type,Orfeo.peerreviewed,dc.identifier.isbn,dc.identifier.issn,dc.identifier.publisherlink,dc.identifier.doi,dc.identifier.isi,dc.identifier.pubmed,dc.identifier.url,dc.identifier.scopus,dc.identifier.worldcat,dc.identifier.limo,dc.identifier.depositnumber,dc.source.title,dc.source.volume,dc.source.issue,dc.source.page,dc.relation.ispartofseries,dc.identifier.citation,dc.language,dc.relation.project,dc.audience,dc.coverage.spatial,dc.coverage.temporal,file
"Anhydrite pseudomorphs and the origin of stratiform Cu-Co ores in the Katangan Copperbelt","Muchez, P.||Vanderhaeghen, P.||El Desouky, H.||Schneider, J.||Boyce, A.||Dewaele, S.||Cailteux, J.","","","","PROMINES","The stratiform Cu-Co ore deposits in the Katangan Copperbelt consist of dispersed sulphides, sulphides in nodules and lenses, which are often pseudomorphs after evaporites, and in veins. Two types of pseudomorphs can be distinguished in the nodules and lenses. In Type 1 examples, dolomite precipitated first and was subsequently replaced by Cu-Co sulphides and authigenic quartz, whereas in Type 2 examples, authigenic quartz and Cu-Co sulphides precipitated prior to dolomite and are coarse-grained.   The sulphur isotopic composition of the copper-cobalt sulphides in the Type 1 pseudomorphs is between -10.3 and 3.1 V-CDT, indicating that the sulphide was derived from bacterial sulphate reduction (BSR). The generation of HCO3- during this process caused the precipitation and replacement of anhydrite by dolomite. A second product of BSR is the generation of H2S. We suggest that metals in the mineralising fluid reacted with the H2S, resulting in the precipitation of Cu-Co sulphides. Initial sulphide precipitation occurred along the rim of the pseudomorphs and continued towards the core. Precipitation of authigenic quartz was most likely induced by a pH decrease during sulphide precipitation.   Fluid inclusion data from quartz indicate the presence of a high-salinity (8-18 eq. wt% NaCl) mineralising fluid, possibly derived from evaporated seawater which migrated through the deep subsurface. 87Sr/86Sr ratios of dolomite in Type 1 nodules range between 0.71012 and 0.73576 significantly more radiogenic than the strontium isotopic composition of Neoproterozoic marine carbonates (87Sr/86Sr = 0.7056-0.7087). This suggests intense interaction with siliciclastic sedimentary rocks and/or the granitic basement. The low carbon isotopic composition of the dolomite in the pseudomorphs (-7.02 and -9.93 V-PDB) compared to the host rock dolomites (-4.90 and +1.31  V-PDB) resulted from the oxidation of organic matter during BSR.   ","Springer-Verlag","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Mineralium Deposita","43","","575-589","","","EN","Origin and fluid evolution in the Central African Copperbelt: relation with Cu-Co ore deposits ( FWO )","Scientifique","","","http://www.africamuseum.be/publication_docs/mindep.pdf::accessrights:public access"
"Zircon geochronology and Sr, Nd, Pb isotope geochemistry of granitoids from Bayuda Desert and Sabaloka (Sudan): evidence for a Bayudian event (920-900 Ma) preceding the Pan-African orogenic cycle (860 - 590 Ma) at the eastern boundary of the Saharan Metac","Küster, D||Liégeois, J.P.||Matukov, D||Sergeev, S||Lucassen, F","","","","Geodynamics and mineral resources","Results of zircon geochronology and Sr, Nd and Pb isotope investigations carried out on granitoid rocks from the boundary of the Saharan Metacraton with the Arabian-Nubian Shield (ANS) reveal a protracted, partly pre-Pan-African geodynamic evolution and the existence of crustal terranes of different ancestries. (Meta)granitoids and gneisses in north-central Bayuda Desert record a 920-900Ma orogenic event, hitherto unrecognized in northeastern Africa. This early Neoproterozoic Bayudian event is restricted to a pre-Pan-African crustal terrane which appears only slightly affected by Pan-African tectogenesis and deformation, named here the Rahaba-Absol terrane. Within this terrane, amphibolite-facies metamorphism occurred at 921±10Ma in the El Melagi muscovite-biotite gneiss of the Rahaba Series, probably during a collisional phase; followed by the intrusion of the Absol medium-K granite-granodiorite pluton discordantly emplaced at 900±9Ma into high-grade schists and amphibolites of the metavolcanosedimentary Absol Series. Nd TDM model ages (2040-2430 Ma) and ages of rounded zircon cores (1060, 1980, 2540 and 2675 Ma) of the El Melagi gneiss indicate a predominantly late Archaean to Palaeoproterozoic source region and suggest a latest Mesoproterozoic to early Neoproterozoic depositional age of its pelitic precursor sediment. The post-collisional Absol pluton has isotope characteristics (Nd-Sr-Pb) indicating assimilation of old pre-Neoproterozoic crust. The Rahaba-Absol terrane is part of the Saharan Metacraton and is in tectonic contact with the high-grade metamorphic Kurmut terrane of eastern Bayuda Desert. The Kurmut terrane has juvenile Neoproterozoic isotope characteristics, its granitoids record only Pan-African orogenic events and it is therefore considered a part of the Arabian-Nubian Shield. Both the Rahaba-Absol and the Kurmut terrane of the Bayuda Desert are intruded by post-collisional high-K granitoid magmatism of late Pan-African age, with no intermediate events recorded. ","Elsevier","2008","Article scientifique peer reviewed","yes","","","","10.1016/j.precamres.2008.03.003","","","","","","","","Precambrian Research","164","","16-39","","","EN","","Scientifique","","","http://www.africamuseum.be/publication_docs/Kuster-Liegeois-et al-2008-PR-Bayuda-desert.pdf::accessrights:public access"
"A complex multi-chamber magmatic system beneath a late Cenozoic volcanic field: evidence from CSDs and thermobarometry of clinopyroxene from a single nephelinite flow (Djbel Saghro, Morocco).","Berger, J||Ennih, N||Liégeois, J.P.||Nkono, C||Mercier, J.C.C||Demaiffe, D","","N. Ennih & J.P. Liégeois","","Geodynamics and mineral resources","","Geological Society","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","The Boudaries of the West  African craton","297","","505-520","Special Publications","","EN","","Scientifique","","","http://www.africamuseum.be/publication_docs/Berger-et-al-2008-GSLSP297-Cenozoic-Saghro-volcanism.pdf::accessrights:public access"
"The geology of Morocco: continental evolution In Western Maghreb","Michard, A||Frizon de Lamotte, D||Liégeois, J.P.||Saddiqi, O||Chalouan, A","","A. Michard et al.","","Geodynamics and mineral resources","","Springer-Verlag","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Continental Evolution: The Geology of Morocco","116","","395-405","Lecture Notes in Earth Sciences","","EN","","Scientifique","","","http://www.africamuseum.be/publication_docs/Michardetal2008-MoroccoBook-Maghreb evolution.pdf::accessrights:public access"
"The Pan-African Belt.","Gasquet, D||Ennih, N||Liégeois, J.P.||Soulaimani, A||Michard, A","","Michard A. et al.","","Geodynamics and mineral resources","","Springer-Verlag","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Continental evolution: the Geology of Morocco","116","","33-64","Lecture Notes in Earth Sciences","","EN","","Scientifique","","","http://www.africamuseum.be/publication_docs/Gasquet et al-BookMorocco-Pan-African belt.pdf::accessrights:public access"
"Pb-Zn mineralization in a Miocene regional extensional context: The case of the Sidi Driss and the Douahria ore deposits (Nefza mining district, northern Tunisia).","Decrée, S.||Marignac, Ch.||De Putter, Th.||Deloule, E.||Liégeois, J.-P.||Demaiffe, D.","","","","Geodynamics and mineral resources","The Sidi Driss and Douahria sulfide ore deposits and showings are located in the Nefza mining district, northern Tunisia. The ores are hosted within Upper Miocene (Messinian) basins, within carbonate lenses composed of FeMn-enriched dedolomite partially or totally replaced by early barite and celestite. The ore mainly consists of galena and spherulitic/colloform sphalerite (partially replaced by later Fe-sulfides). It is present as disseminated or banded ores and has been deposited within the host-rock through dissolution/replacement process or through void infilling. The remaining voids are filled by late calcite/barite locally associated with a late oxidation event. In situ ion microprobe sulfur isotope analyses show significant variability for sphalerite (from &#8722; 43.9 to 1.2), galena (from &#8722; 30.3 to &#8722; 2) and marcasite ä34S (from &#8722; 35.9 to 25.8). These values are interpreted as the result of (i) the mixing of two sulfur end-members in the mineralizing fluids, corresponding to different reduction processes (bacterially-mediated sulfate reduction and thermochemical sulfate reduction, with early celestite and barite and/or contemporaneous Messinian seawater, together with Triassic sulfate, as sulfur sources, and (ii) Rayleigh fractionation process in a closed system. Several arguments (FeMn enrichment in early diagenetic carbonates, involvement of Messinian seawater as a sulfur source, low temperature of deposition and soft-style sedimentary figures within sulfides) suggest that the Sidi Driss and Douahria PbZn ore deposits are syn-diagenetic. Moreover, the properties of the ore deposits, with FeMn carbonates having a wider distribution than that of the base metal sulfides, and the characteristics of the mineralization, in which diagenetic sulfates are a sulfur source and Cd enrichment in sphalerite, support the classification of the Sidi Driss and Douahria PbZn deposits as SHMS-Sedex type. Late Miocene extension, comprising rifting dynamics and basalt emplacement, favored a thermally-driven fluid circulation origin for the Sidi Driss and Douahria deposits, enhancing inception of small-scale shallow convection cells. Such sulfide emplacement is significantly different from that of southernmost MVT ore deposits of Tunisia, which are associated with diapirs and are interpreted as the result of a SerravalianTortonian gravity-driven fluid circulation event related to late Alpine convergence. ","Elsevier","2008","Article scientifique peer reviewed","yes","","","","10.1016/j.oregeorev.2008.01.002","","","","","","","","Ore Geology Reviews","34","","285-303","","","EN","Valorisation des géomatériaux du District Minier de Nefza-Sejnane (Nord de la Tunisie)  ( Regionale )","Scientifique","","","http://www.africamuseum.be/publication_docs/Decree2008-OreGR-Pb-Zn-Miocene-Nefza-Tunisia.pdf::accessrights:public access"
"Geochronology and metamorphic P-T-X evolution of the Eburnean granulite-facies metapelites of Tidjenouine (Central Hoggar, Algeria): witness of the LATEA metacratonic evolution.","Bendaoud, A||Ouzegane, K||Godard, G||Liégeois, J.P.||Kienast, J.R.||Bruguier, O||Drareni, A","","ENNIH, N. & LIEGEOIS, J.-P.","","Geodynamics and mineral resources","","Geological Society","2008","Partie douvrage peer reviewed","yes","","","","10.1144/SP297.6","","","10.1144/SP297.6","","","","","The Boundaries of the West African Craton","297","","111-146","Special Publications","","EN","","Scientifique","","","http://www.africamuseum.be/publication_docs/Bendaoud-et-al-2008-GSLSP297-Eburnean-granulites-Tidjenouine-LATEA-Hoggar.pdf::accessrights:public access"
"Post-collisional melting of crustal sources: constraints from geochronology, petrology and Sr, Nd isotope geochemistry of the Variscan Sichevita and Poniasca granitoid plutons (South Carpathians, Romania).","Duchesne, J.C.||Liégeois, J.P.||Lancu, V||Berza, T||Matukov, D.I.||Tatu, M||Sergeev, A.A.","","","","Geodynamics and mineral resources","","Springer-Verlag","2008","Article scientifique peer reviewed","yes","","","","10.1007/s00531-007-0185-z","","","","","","","","International Journal of Earth Sciences","97","","705-723","","","EN","","Scientifique","","","http://www.africamuseum.be/publication_docs/Duchesne-et-al-2008-IJES-Sichevita-Romania.pdf::accessrights:public access"
"Synodontis ngouniensis, new species (Siluriformes: Mochokidae) from the Ngounié and Nyanga basins, Gabon and Republic of Congo.","De Weirdt, D||Vreven, E.J.||Fermon, Y","","","","Vertebrates","Synodontis ngouniensis, new species, is described. It is endemic to the Ngounié River (Ogooué River basin) and the Nyanga River basin. It is distinguished from all other Synodontis species of the Lower Guinea Ichthyofaunal Province by: a dorsal spine with a smooth anterior margin except for the presence of 1-4 feeble serrations on the distal part; a maxillary barbel with a smooth membrane, which is proximally at least as broad as the barbel thread and situated on the posterior basal two third of the barbel; 12-19 mandibular teeth; 10-13 gill rakers on the ceratobranchial of the first branchial arch; a triangular humeral process, and a striking colour pattern of black overall background colour with irregular whitish lines and dots.","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Ichthyological Exploration of Freshwaters","19(2)","","121-128","","","EN","","Scientifique","","","http://www.africamuseum.be/publication_docs/De Weirdt et al 2008.pdf::accessrights:public access"
"Atlas des oiseaux nicheurs de la Grande Comore, de Mohéli et d Anjouan.","Louette, M.||Abderemane, H.||Yahaya, I.||Meirte, D.","","","","Biological collection and data management||Vertebrates","","RMCA","2008","Ouvrage non peer reviewed","no","","","","","","","","","","","","","294","","240","Studies in Afrotropical Zoology","","FR","Assistentie bij de uitbouw van het focaal punt van biodiversiteitskennis op de Comoren, partim: verspreidingsatlas van de endemische vogels.  ( RMCA )","Scientifique","","",""
