"STATE","DISTRICT","BLOCK","VILLAGE","PUBLIC GOVERNMENT OWNED","PUBLIC COOPERATIVE SOCIETY","PUBLIC PANCHAYAT OWNED","PUBLIC OTHERS","PUBLIC TOTAL","PRIVATE GROUP OF FARMERS","PRIVATE INDIVIDUAL FARMERS","PRIVATE TOTAL","GRAND TOTAL"
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","KADAKELLA",0,0,0,0,0,0,3,3,3
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","KAMBARA",0,0,0,0,0,0,34,34,34
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","DASUMANTHA PURAM",0,0,0,0,0,0,32,32,32
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","PEDDURU",0,0,0,0,0,0,2,2,2
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","CHALIVENDRI",0,0,0,0,0,0,10,10,10
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","BURUGA",0,0,0,0,0,0,3,3,3
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","NADUKURU",0,0,0,0,0,0,43,43,43
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","VIKRAMPURAM",0,0,0,0,0,0,7,7,7
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","NADIMIKELLA",0,0,0,0,0,0,14,14,14
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","MODATIKELLA",0,0,0,0,0,0,15,15,15
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","SRIHARI PURAM",0,0,0,0,0,0,16,16,16
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","CHITTIPUDIVALASA",0,0,0,0,0,0,16,16,16
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","KIMMI",0,0,0,0,0,0,19,19,19
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","KOTHUGUMADA",0,0,0,0,0,0,30,30,30
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","VEERAGHATTAM",0,0,0,0,0,0,21,21,21
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","VENKAMPETA",0,0,0,0,0,0,3,3,3
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","CHIDIMIDARI SEETHARA",0,0,0,0,0,0,2,2,2
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","CHIDIMI",0,0,0,0,0,0,2,2,2
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","GADAGAMMA",0,0,0,0,0,0,10,10,10
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","PALAMETTA VIZIARAMAP",0,0,0,0,0,0,6,6,6
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","TUDI",0,0,0,0,0,0,6,6,6
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","VANDUVA",0,0,0,0,0,0,11,11,11
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","ADARU",0,0,0,0,0,0,2,2,2
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","CHEBIYYAMVALASA",0,0,0,0,0,0,1,1,1
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","BITIWADA",0,0,0,0,0,0,14,14,14
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","PANASANANDIVADA",0,0,0,0,0,0,40,40,40
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","NEELANAGARAM",0,0,0,0,0,0,7,7,7
"ANDHRA PRADESH","SRIKAKULAM","VEERAGHATTAM","TALAVARAM",0,0,0,0,0,0,37,37,37
"ANDHRA PRADESH","SRIKAKULAM","VANGARA","U V R PETA",0,0,0,0,0,0,12,12,12
"ANDHRA PRADESH","SRIKAKULAM","VANGARA","RAJULAGUMADA",0,0,0,0,0,0,8,8,8
"ANDHRA PRADESH","SRIKAKULAM","VANGARA","BANGARUVALASA",0,0,0,0,0,0,1,1,1
"ANDHRA PRADESH","SRIKAKULAM","VANGARA","KOPARAVALSA",0,0,0,0,0,0,1,1,1
"ANDHRA PRADESH","SRIKAKULAM","VANGARA","RUSHINGI",0,0,0,0,0,0,3,3,3
"ANDHRA PRADESH","SRIKAKULAM","VANGARA","T D K PURAM",0,0,0,0,0,0,9,9,9
"ANDHRA PRADESH","SRIKAKULAM","VANGARA","TALAGAM",0,0,0,0,0,0,9,9,9
"ANDHRA PRADESH","SRIKAKULAM","VANGARA","SIVVAM",0,0,0,0,0,0,25,25,25
"ANDHRA PRADESH","SRIKAKULAM","VANGARA","M S PURAM",0,0,0,0,0,0,5,5,5
"ANDHRA PRADESH","SRIKAKULAM","VANGARA","KOPPARA",0,0,0,0,0,0,20,20,20
