"id","impl_aggregation_id","impl_data_set_id","created_at","updated_at"
198,145,30,"2015-11-27 21:40:12.131149","2015-11-27 21:40:12.131149"
690,630,446,"2015-11-29 15:39:07.33574","2015-11-29 15:39:07.33574"
4990,2,107,"2016-02-03 10:06:03.883967","2016-02-03 10:06:03.883967"
4991,2,3,"2016-02-03 10:06:03.907632","2016-02-03 10:06:03.907632"
4992,2,6,"2016-02-03 10:06:03.916186","2016-02-03 10:06:03.916186"
4993,2,1,"2016-02-03 10:06:03.922431","2016-02-03 10:06:03.922431"
4994,2,80,"2016-02-03 10:06:03.931091","2016-02-03 10:06:03.931091"
4995,2,82,"2016-02-03 10:06:03.938988","2016-02-03 10:06:03.938988"
4996,2,86,"2016-02-03 10:06:03.947244","2016-02-03 10:06:03.947244"
4997,2,5,"2016-02-03 10:06:03.955521","2016-02-03 10:06:03.955521"
4998,2,102,"2016-02-03 10:06:03.963907","2016-02-03 10:06:03.963907"
4999,2,32,"2016-02-03 10:06:03.972279","2016-02-03 10:06:03.972279"
5000,2,108,"2016-02-03 10:06:03.980609","2016-02-03 10:06:03.980609"
5001,2,48,"2016-02-03 10:06:03.988947","2016-02-03 10:06:03.988947"
5002,2,88,"2016-02-03 10:06:03.997299","2016-02-03 10:06:03.997299"
5003,2,1847,"2016-02-03 10:06:04.013976","2016-02-03 10:06:04.013976"
5004,2,31,"2016-02-03 10:06:04.022219","2016-02-03 10:06:04.022219"
5005,2,47,"2016-02-03 10:06:04.030508","2016-02-03 10:06:04.030508"
5006,2,26,"2016-02-03 10:06:04.038847","2016-02-03 10:06:04.038847"
5007,2,7,"2016-02-03 10:06:04.047332","2016-02-03 10:06:04.047332"
5008,2,75,"2016-02-03 10:06:04.055754","2016-02-03 10:06:04.055754"
5009,2,49,"2016-02-03 10:06:04.063985","2016-02-03 10:06:04.063985"
5010,2,76,"2016-02-03 10:06:04.072519","2016-02-03 10:06:04.072519"
5011,2,51,"2016-02-03 10:06:04.080671","2016-02-03 10:06:04.080671"
5012,2,40,"2016-02-03 10:06:04.089102","2016-02-03 10:06:04.089102"
5013,2,27,"2016-02-03 10:06:04.097399","2016-02-03 10:06:04.097399"
5014,2,122,"2016-02-03 10:06:04.105663","2016-02-03 10:06:04.105663"
5015,2,29,"2016-02-03 10:06:04.114608","2016-02-03 10:06:04.114608"
5016,2,84,"2016-02-03 10:06:04.12244","2016-02-03 10:06:04.12244"
5017,2,10,"2016-02-03 10:06:04.13071","2016-02-03 10:06:04.13071"
5018,2,12,"2016-02-03 10:06:04.139009","2016-02-03 10:06:04.139009"
5019,2,78,"2016-02-03 10:06:04.155319","2016-02-03 10:06:04.155319"
5020,2,9,"2016-02-03 10:06:04.164033","2016-02-03 10:06:04.164033"
5021,2,53,"2016-02-03 10:06:04.172457","2016-02-03 10:06:04.172457"
5022,2,8,"2016-02-03 10:06:04.180833","2016-02-03 10:06:04.180833"
5023,2,90,"2016-02-03 10:06:04.189121","2016-02-03 10:06:04.189121"
5024,2,34,"2016-02-03 10:06:04.19737","2016-02-03 10:06:04.19737"
5025,2,41,"2016-02-03 10:06:04.205819","2016-02-03 10:06:04.205819"
5026,2,30,"2016-02-03 10:06:04.214132","2016-02-03 10:06:04.214132"
5027,2,109,"2016-02-03 10:06:04.222815","2016-02-03 10:06:04.222815"
5028,2,25,"2016-02-03 10:06:04.230756","2016-02-03 10:06:04.230756"
5029,2,43,"2016-02-03 10:06:04.239189","2016-02-03 10:06:04.239189"
5030,2,110,"2016-02-03 10:06:04.247385","2016-02-03 10:06:04.247385"
5031,2,91,"2016-02-03 10:06:04.255857","2016-02-03 10:06:04.255857"
5032,2,55,"2016-02-03 10:06:04.264182","2016-02-03 10:06:04.264182"
5033,2,1828,"2016-02-03 10:06:04.272572","2016-02-03 10:06:04.272572"
5034,2,92,"2016-02-03 10:06:04.280819","2016-02-03 10:06:04.280819"
5035,2,72,"2016-02-03 10:06:04.289211","2016-02-03 10:06:04.289211"
5036,2,79,"2016-02-03 10:06:04.297524","2016-02-03 10:06:04.297524"
5037,2,37,"2016-02-03 10:06:04.305868","2016-02-03 10:06:04.305868"
5038,2,57,"2016-02-03 10:06:04.31416","2016-02-03 10:06:04.31416"
5039,2,81,"2016-02-03 10:06:04.322585","2016-02-03 10:06:04.322585"
5048,200,145,"2016-02-03 10:22:23.446902","2016-02-03 10:22:23.446902"
