"id","datacast_identifier","output","fingerprint","created_at","updated_at"
3649,"9d35a217e92ee36ce54ec37ea51d360148b59bddd98a0aa9b85f31352e60b2738a","[{""value"":""1"",""key"":"""",""content"":"""",""title"":""Total Institutions"",""diff_in_value"":""""}]","9a4ba53b43a4c5b2bcd95beecdded666","2015-12-09 14:34:46.95671","2015-12-09 14:35:27.753249"
16803,"241a5756b4b8237e61d24c6140318e804c236bbfce0a6942bed3c89cd76b604d8b","","","2016-05-20 06:27:57.704649","2016-05-20 06:27:57.704649"
16804,"e1c7dde37a39f3c38f8a5718263d6baf03a4b8952f687332d931a5aeb849d7f5bb","","","2016-05-20 06:30:32.487644","2016-05-20 06:30:32.487644"
2204,"acfd86b98faac9de48ae7736ef381bee7621c31980424881fe605c5cf2e4d64482","[{""name"":""IMAGE"",""weight"":""180602""}]","ed69141e55351cc625139a698e57b24d","2015-12-02 14:15:22.034928","2015-12-02 14:16:23.266065"
227,"c4105dc910223ff8e2ddcd9d070b863d619938c12687a739f6d34fd5746f964b9d","[{""x"":""January"",""name"":""item_views"",""y"":""0""},{""x"":""January"",""name"":""click_throughs"",""y"":""0""},{""x"":""February"",""name"":""item_views"",""y"":""0""},{""x"":""February"",""name"":""click_throughs"",""y"":""0""},{""x"":""March"",""name"":""item_views"",""y"":""0""},{""x"":""March"",""name"":""click_throughs"",""y"":""0""},{""x"":""April"",""name"":""item_views"",""y"":""0""},{""x"":""April"",""name"":""click_throughs"",""y"":""0""},{""x"":""May"",""name"":""click_throughs"",""y"":""0""},{""x"":""May"",""name"":""item_views"",""y"":""0""},{""x"":""June"",""name"":""item_views"",""y"":""0""},{""x"":""June"",""name"":""click_throughs"",""y"":""0""},{""x"":""July"",""name"":""item_views"",""y"":""323""},{""x"":""July"",""name"":""click_throughs"",""y"":""0""},{""x"":""August"",""name"":""item_views"",""y"":""1820""},{""x"":""August"",""name"":""click_throughs"",""y"":""647""},{""x"":""September"",""name"":""item_views"",""y"":""2022""},{""x"":""September"",""name"":""click_throughs"",""y"":""485""},{""x"":""October"",""name"":""click_throughs"",""y"":""162""},{""x"":""October"",""name"":""item_views"",""y"":""2224""},{""x"":""November"",""name"":""click_throughs"",""y"":""283""},{""x"":""November"",""name"":""item_views"",""y"":""1697""},{""x"":""December"",""name"":""item_views"",""y"":""2748""},{""x"":""December"",""name"":""click_throughs"",""y"":""282""}]","1bafc6315c1d0e662b349b60ec020f40","2015-11-27 21:43:53.164362","2016-03-04 06:53:59.358725"
3647,"e87a65fdf8585273e3512a0e82c75b894f50e5be2593e388f689d89a17e9ef7c3c","[{""name"":""open"",""weight"":""180600""},{""name"":""restricted"",""weight"":""2""}]","4eb5e3fba9b0c48bb65dd71293a97890","2015-12-09 14:34:46.883486","2015-12-09 14:34:47.111279"
5404,"a3faf4b36f2c3d5fb803aec78d98bbe18aad145954677f3b5c55e615dc1d05d112","[{""year"":""2015"",""month"":""December"",""value"":""52"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7414551.html"",""title"":""Gemeente Schijndel, Mieke de Brefstraat te Schijndel""},{""year"":""2015"",""month"":""December"",""value"":""21"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7420837.html"",""title"":""Plangebied Mieke de Brefstraat te Schijndel. Bureauonderzoek en Inventariserend veldonderzoek (verkennende fase)""},{""year"":""2015"",""month"":""December"",""value"":""10"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7414224.html"",""title"":""Luilekkerland aan de kust. De faunaresten van de neolithische nederzetting bij Rijswijk-Ypenburg""},{""year"":""2015"",""month"":""December"",""value"":""10"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7414352.html"",""title"":""Plangebied 1A4 Hoogtij (Almere Haven)""},{""year"":""2015"",""month"":""December"",""value"":""10"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7414051.html"",""title"":""Aalten Bredevoort Markt 1 Bureau-onderzoek""},{""year"":""2015"",""month"":""December"",""value"":""10"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7413762.html"",""title"":""Schouwen-Duiveland Bruinisse Langeweg 14 Booronderzoek""},{""year"":""2015"",""month"":""November"",""value"":""21"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7421722.html"",""title"":""14025158 MON.ARI.ARC Eindrapportage archeologisch booronderzoek Komweg (ong.) te Didam""},{""year"":""2015"",""month"":""November"",""value"":""10"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7417849.html"",""title"":""plangebied Louisapolder, gemeente Dordrecht; archeologisch vooronderzoek: een bureau- en inventariserend veldonderzoek (grondradar- en booronderzoek).""},{""year"":""2015"",""month"":""November"",""value"":""10"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7416603.html"",""title"":""Gemeente Sint Michielsgestel, Gasthuisstraat 12 te Gemonde""},{""year"":""2016"",""month"":""February"",""value"":""7"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7416790.html"",""title"":""Heerde en Epe SBB 73 Heerde""},{""year"":""2016"",""month"":""February"",""value"":""4"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7414285.html"",""title"":""Odijk, Burgweg (gem. Bunnik)""},{""year"":""2016"",""month"":""February"",""value"":""3"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7414935.html"",""title"":""Locatie 'Deo-terrein', gemeente Haarlem""},{""year"":""2016"",""month"":""February"",""value"":""3"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7416998.html"",""title"":""Archeologisch bureauonderzoek Lijsterbesstraat 6 Gemeente Winterswijk""},{""year"":""2016"",""month"":""February"",""value"":""3"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7417246.html"",""title"":""Inventariserend veldonderzoek van het VBF-terrein in Blerick (Venlo)""},{""year"":""2016"",""month"":""February"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7414754.html"",""title"":""Bosheurneweg 6 te Barchem, Gemeente Lochem""},{""year"":""2016"",""month"":""February"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7418899.html"",""title"":""Archeologisch onderzoek van middeleeuwse bewoningssporen bij AZC Fivelhorn, gem. Ten Boer, Groningen.""},{""year"":""2016"",""month"":""February"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7417379.html"",""title"":""Kasteel Palmesteyn te Deil, gemeente Geldermalsen""},{""year"":""2016"",""month"":""February"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7417820.html"",""title"":""Archeologisch onderzoek op het terrein van garage Zwart te Heiloo""},{""year"":""2016"",""month"":""February"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7421378.html"",""title"":""Almere Poort, locatie 4E4 \""de Kaap\"" Scandinaviëlaan/Noorwegenkade""},{""year"":""2016"",""month"":""February"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7418049.html"",""title"":""Woubrugge, Boddens Hosangweg 33 Gemeente Kaag en Braasem, Z.H.""},{""year"":""2016"",""month"":""February"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7423070.html"",""title"":""Rotterdam, Park De Twee Heuvels. Verslag van een boring in verband de mogelijke aanwezigheid van een fossiele rivierduin.""},{""year"":""2016"",""month"":""February"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7416917.html"",""title"":""Gemeente Enschede, Enschede, Buurserstraat 500""},{""year"":""2016"",""month"":""February"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7422956.html"",""title"":""Usquerderweg 11 te Kantens""},{""year"":""2016"",""month"":""February"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7414707.html"",""title"":""Gemeente Veghel, Plangebied De Kempkens te Veghel""},{""year"":""2016"",""month"":""February"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7419972.html"",""title"":""Plangebied Den Burg Volmolen en plangebied Den Burg West, gemeente Texel""},{""year"":""2016"",""month"":""February"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7419770.html"",""title"":""Plangebied Grote en Kleine Beer te Westendorp (Gemeente Oude IJsselstreek)""},{""year"":""2016"",""month"":""February"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7422062.html"",""title"":""Archeologisch bureauonderzoek \u0026 Inventariserend Veldonderzoek, verkennende fase Hilverbeek, Zwijndrecht Gemeente Zwijndrecht""},{""year"":""2016"",""month"":""February"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7414390.html"",""title"":""Nes, Lege Miedeweg. Gemeente Ameland (Frl.)""},{""year"":""2016"",""month"":""February"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7417370.html"",""title"":""Gemeente Landerd, Plangebied Koperstraat te Reek""},{""year"":""2016"",""month"":""February"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7423085.html"",""title"":""Hellevoetsluis, plangebied Voetmaat""},{""year"":""2016"",""month"":""February"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7415565.html"",""title"":""Een Aanvullend Inventariserend Archeologisch Veldonderzoek langs de Runde te Foxel, Gemeente Emmen (Dr.).""},{""year"":""2016"",""month"":""February"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7414279.html"",""title"":""Woerden - Archeologische begeleiding langs de Prins Hendrikkade en bij de 'Utrechtse poort'""},{""year"":""2016"",""month"":""February"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7417328.html"",""title"":""Reconstructie Grote Molenstraat, gemeente Overbetuwe. Archeologisch vooronderzoek: een proefsleuvenonderzoek naar de Romeinse weg Elst-Driel""},{""year"":""2016"",""month"":""January"",""value"":""22"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7422579.html"",""title"":""Zijdekade 1, Schipluiden. Gemeente Midden-Delfland.""},{""year"":""2016"",""month"":""January"",""value"":""17"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7422062.html"",""title"":""Archeologisch bureauonderzoek \u0026 Inventariserend Veldonderzoek, verkennende fase Hilverbeek, Zwijndrecht Gemeente Zwijndrecht""},{""year"":""2016"",""month"":""January"",""value"":""5"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7421965.html"",""title"":""ARCHEOLOGISCHE RAPPORTEN ALMERE 87""},{""year"":""2016"",""month"":""January"",""value"":""3"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7421391.html"",""title"":""Archeologische begeleiding Maastrichterweg te Rothem in de gemeente Meerssen""},{""year"":""2016"",""month"":""January"",""value"":""3"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7416455.html"",""title"":""Plangebied Op den Bosch te Maashees (gemeente Boxmeer)""},{""year"":""2016"",""month"":""January"",""value"":""3"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7421394.html"",""title"":""Een natuurvriendelijke oever langs de Kromme Rijn bij Werkhoven""},{""year"":""2016"",""month"":""January"",""value"":""3"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7417390.html"",""title"":""Gemeente Gennep Plangebied Zelder 1 te Ven-Zelderheide""},{""year"":""2016"",""month"":""January"",""value"":""3"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7422287.html"",""title"":""Inventariserend veldonderzoek verkennende fase Wijnbergen Rodenbroekweg, gemeente Bergh. ""},{""year"":""2016"",""month"":""January"",""value"":""3"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7417462.html"",""title"":""Archeologisch Bureauonderzoek met controleboringen; 'Bouwlocatie Kasteelstraat 10', Philippine, Gemeente Terneuzen""},{""year"":""2016"",""month"":""January"",""value"":""3"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7419951.html"",""title"":""Waterland Blaricum Eemnes Waterland Blaricum en Eemnes Gouwzee Maritiem IVO""},{""year"":""2016"",""month"":""January"",""value"":""3"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7423092.html"",""title"":""Barendrecht 'Zwembadlocatie\""""},{""year"":""2016"",""month"":""January"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7421473.html"",""title"":""Weesp, Poldergemaal Korte Stammerdijk (Gemeente Weesp, NH) Een Archeologisch Bureauonderzoek""},{""year"":""2016"",""month"":""January"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7417777.html"",""title"":""Een archeologisch inventariserend veldonderzoek (IVO) door middel van megaboringen, op Wijnbergen-De Kap te Doetinchem, gemeente Doetinchem (Gld.)""},{""year"":""2016"",""month"":""January"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7415927.html"",""title"":""Een aanvullend inventariserend archeologisch veldonderzoek aan de Dorpsstraat 69 te Putten (Gld.)""},{""year"":""2016"",""month"":""January"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7414754.html"",""title"":""Bosheurneweg 6 te Barchem, Gemeente Lochem""},{""year"":""2016"",""month"":""January"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7421928.html"",""title"":""Ermelo Nijkerkerweg 55 Booronderzoek""},{""year"":""2016"",""month"":""January"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7421370.html"",""title"":""Mildam, Molenlaan (Gemeente Heerenveen, Friesland). Een Inventariserend Archeologisch Veldonderzoek.""},{""year"":""2016"",""month"":""January"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7421048.html"",""title"":""Archeologisch karterend booronderzoek Rodenbroekweg 1 te Wijnbergen in de gemeente Montferland""},{""year"":""2016"",""month"":""January"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7419810.html"",""title"":""Erven uit de vroege ijzertijd en de Late Middeleeuwen""},{""year"":""2016"",""month"":""January"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7414392.html"",""title"":""Voldersgracht - Spuimarkt Gemeente Den Haag""},{""year"":""2016"",""month"":""January"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7422949.html"",""title"":""Eemdijk 1 te Baarn""},{""year"":""2016"",""month"":""January"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7414033.html"",""title"":""Plangebied De Boogaert, gemeente Castricum""},{""year"":""2016"",""month"":""January"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7414265.html"",""title"":""Een inventariserend archeologisch veldonderzoek op de wierde Barnwerd, Oldehove""},{""year"":""2016"",""month"":""January"",""value"":""2"",""image_url"":""http://europeanastatic.eu/api/image?size=FULL_DOC\u0026type=VIDEO"",""title_url"":""http://www.europeana.eu/portal/record/2020710/object_DANS_7418794.html"",""title"":""Bureauonderzoeken Inventariserend Veldonderzoek door middel van grondboringen; Bouwlocatie Olaertsduynweg 6, Rockanje, Gemeente Westvoorne""}]","9482c4c63972c54d8f190a0628dae8d0","2015-12-10 21:47:56.426861","2016-03-09 10:46:48.002523"
5412,"0eebf4319f81961c2de9179ecbc8fc3752fe1ae8018e1819d6284513fa2dfc6b1d","[{""name"":""TEXT"",""weight"":""9352""}]","348a2b33d06031d6c34f04db149f5a2a","2015-12-10 21:47:56.471814","2015-12-10 21:49:41.60267"
5417,"944b4e95dbe0d4106cf8ee28ea483692f1ea6e73733d8812d39bbd89ea4750f245","[{""name"":""permission"",""weight"":""9352""}]","94a36570f7528072e11440f1206cd124","2015-12-10 21:47:56.509899","2015-12-10 21:49:42.042988"
557,"94fecc0653bd77289ef8bfa9497c4fa64a5a42349fc3911cca799119fb329e745c","[{""name"":""open"",""weight"":""2661807""},{""name"":""permission"",""weight"":""1376187""},{""name"":""restricted"",""weight"":""694328""}]","c4009aa85754d7e94ec1b05db027ef06","2015-11-27 21:56:19.222175","2016-03-04 05:42:21.723732"
