"id","core_project_id","core_db_connection_id","name","identifier","properties","created_by","updated_by","created_at","updated_at","params_object","column_properties","last_run_at","last_data_changed_at","count_of_queries","average_execution_time","size","slug","table_name"
3649,1,1,"PROVIDER Rijksmuseum - Providers Count","9d35a217e92ee36ce54ec37ea51d360148b59bddd98a0aa9b85f31352e60b2738a","""error""=>"""", ""query""=>""Select count(*) as value, '' as key, '' as content, 'Total Institutions' as title, '' as diff_in_value from impl_aggregation_relations where impl_parent_genre='provider' and impl_child_genre='data_provider' and impl_parent_id = '631'"", ""format""=>""json"", ""method""=>""get"", ""number_of_rows""=>""1"", ""number_of_columns""=>""5"", ""refresh_frequency""=>""0""",,,"2015-12-09 14:34:46.955147","2016-03-09 08:19:05.796294","{}","{""value"":{""data_type"":""integer"",""d_or_m"":""m"",""data_distribution"":{""string"":0,""boolean"":0,""float"":0,""integer"":1,""date"":0,""blank"":0}},""key"":{""data_type"":""string"",""d_or_m"":""d"",""data_distribution"":{""string"":0,""boolean"":0,""float"":0,""integer"":0,""date"":0,""blank"":1}},""content"":{""data_type"":""string"",""d_or_m"":""d"",""data_distribution"":{""string"":0,""boolean"":0,""float"":0,""integer"":0,""date"":0,""blank"":1}},""title"":{""data_type"":""string"",""d_or_m"":""d"",""data_distribution"":{""string"":1,""boolean"":0,""float"":0,""integer"":0,""date"":0,""blank"":0}},""diff_in_value"":{""data_type"":""string"",""d_or_m"":""d"",""data_distribution"":{""string"":0,""boolean"":0,""float"":0,""integer"":0,""date"":0,""blank"":1}}}","2016-03-09 08:19:05.794434","2015-12-09 14:35:27.752421",4,0.005986304,85,"rijksmuseum-providers-count",""
2200,1,1,"PROVIDER Rijksmuseum - Top Countries","fd3a5e600826e6594d3411856cf19024196552831f24ba54897c87e81050635c3c","""error""=>"""", ""query""=>""Select sum(ta.value) as size, b.code as iso2 from core_time_aggregations as ta, (Select o.id as output_id, value, code from impl_outputs o,ref_country_codes as code where o.impl_parent_id = 631 and o.genre='top_countries' and o.value = code.country) as b where ta.parent_id = b.output_id and split_part(ta.aggregation_level_value,'_',1)='2016' group by b.code order by size desc limit 10"", ""format""=>""json"", ""method""=>""get"", ""number_of_rows""=>""10"", ""number_of_columns""=>""2"", ""refresh_frequency""=>""0""",,,"2015-12-02 14:15:21.956715","2016-03-09 08:21:38.716776","{}","{""size"":{""data_type"":""integer"",""d_or_m"":""m"",""data_distribution"":{""string"":0,""boolean"":0,""float"":0,""integer"":10,""date"":0,""blank"":0}},""iso2"":{""data_type"":""string"",""d_or_m"":""d"",""data_distribution"":{""string"":10,""boolean"":0,""float"":0,""integer"":0,""date"":0,""blank"":0}}}","2016-03-09 08:21:38.715273","2016-03-09 08:21:38.703666",19,10.7188603673238,275,"rijksmuseum-top-countries",""
15664,1,1,"DATA PROVIDER Diputació de Barcelona - Media Type Donut Chart","f48795dd800307208171e4036ece77bb336c2b9c034455e0f3d12807ad53d31932","""error""=>"""", ""query""=>""Select name, value as weight from core_time_aggregations INNER JOIN (Select id as impl_output_id, value as name from impl_outputs where impl_parent_id = 145 and genre = 'top_media_types') as io on parent_id = impl_output_id and parent_type = 'Impl::Output' where aggregation_level_value = '2016_March'"", ""format""=>""json"", ""method""=>""get"", ""number_of_rows""=>""3"", ""number_of_columns""=>""2"", ""refresh_frequency""=>""0""",,,"2016-02-27 10:47:02.986368","2016-03-09 11:18:34.121952","{}","{""name"":{""data_type"":""string"",""d_or_m"":""d"",""data_distribution"":{""string"":3,""boolean"":0,""float"":0,""integer"":0,""date"":0,""blank"":0}},""weight"":{""data_type"":""integer"",""d_or_m"":""m"",""data_distribution"":{""string"":0,""boolean"":0,""float"":0,""integer"":3,""date"":0,""blank"":0}}}","2016-03-09 11:18:34.120687","2016-02-27 11:11:37.097233",5,0.012467,96,"data-provider-diputacio-de-barcelona-media-type-donut-chart",""
3647,1,1,"PROVIDER Rijksmuseum - Reusables","e87a65fdf8585273e3512a0e82c75b894f50e5be2593e388f689d89a17e9ef7c3c","""error""=>"""", ""query""=>""Select name, value as weight from core_time_aggregations INNER JOIN (Select id as impl_output_id, value as name from impl_outputs where impl_parent_id = 631 and genre = 'top_reusables') as io on parent_id = impl_output_id and parent_type = 'Impl::Output' where aggregation_level_value = '2016_March'"", ""format""=>""json"", ""method""=>""get"", ""number_of_rows""=>""2"", ""number_of_columns""=>""2"", ""refresh_frequency""=>""0""",,,"2015-12-09 14:34:46.882293","2016-03-09 08:22:05.144729","{}","{""name"":{""data_type"":""string"",""d_or_m"":""d"",""data_distribution"":{""string"":2,""boolean"":0,""float"":0,""integer"":0,""date"":0,""blank"":0}},""weight"":{""data_type"":""integer"",""d_or_m"":""m"",""data_distribution"":{""string"":0,""boolean"":0,""float"":0,""integer"":2,""date"":0,""blank"":0}}}","2016-03-09 08:22:05.143278","2015-12-09 14:34:47.109883",20,0.101295385,70,"rijksmuseum-reusables",""
5410,1,1,"DATA PROVIDER DANS-KNAW - Media Type Donut Chart","0eebf4319f81961c2de9179ecbc8fc3752fe1ae8018e1819d6284513fa2dfc6b1d","""error""=>"""", ""query""=>""Select name, value as weight from core_time_aggregations INNER JOIN (Select id as impl_output_id, value as name from impl_outputs where impl_parent_id = 630 and genre = 'top_media_types') as io on parent_id = impl_output_id and parent_type = 'Impl::Output' where aggregation_level_value = '2016_March'"", ""format""=>""json"", ""method""=>""get"", ""number_of_rows""=>""1"", ""number_of_columns""=>""2"", ""refresh_frequency""=>""0""",,,"2015-12-10 21:47:56.467583","2016-03-09 10:46:47.987844","{}","{""name"":{""data_type"":""string"",""d_or_m"":""d"",""data_distribution"":{""string"":1,""boolean"":0,""float"":0,""integer"":0,""date"":0,""blank"":0}},""weight"":{""data_type"":""integer"",""d_or_m"":""m"",""data_distribution"":{""string"":0,""boolean"":0,""float"":0,""integer"":1,""date"":0,""blank"":0}}}","2016-03-09 10:46:47.986451","2015-12-10 21:49:41.601833",4,0.13046422,33,"dans-knaw-media-type-donut-chart",""
5397,1,1,"DATA PROVIDER DANS-KNAW - Top Countries","5e4ec4a6d61c3d568f6ce17abb3f4012a947874718fb11e0f194766e9e15c65164","""error""=>"""", ""query""=>""Select sum(ta.value) as size, b.code as iso2 from core_time_aggregations as ta, (Select o.id as output_id, value, code from impl_outputs o,ref_country_codes as code where o.impl_parent_id = 630 and o.genre='top_countries' and o.value = code.country) as b where ta.parent_id = b.output_id and split_part(ta.aggregation_level_value,'_',1)='2016' group by b.code order by size desc limit 10"", ""format""=>""json"", ""method""=>""get"", ""number_of_rows""=>""7"", ""number_of_columns""=>""2"", ""refresh_frequency""=>""0""",,,"2015-12-10 21:47:56.337555","2016-03-09 10:46:47.970313","{}","{""size"":{""data_type"":""integer"",""d_or_m"":""m"",""data_distribution"":{""string"":0,""boolean"":0,""float"":0,""integer"":7,""date"":0,""blank"":0}},""iso2"":{""data_type"":""string"",""d_or_m"":""d"",""data_distribution"":{""string"":7,""boolean"":0,""float"":0,""integer"":0,""date"":0,""blank"":0}}}","2016-03-09 10:46:47.968883","2016-03-09 10:46:47.960319",4,2.03389131033333,178,"dans-knaw-top-countries",""
2202,1,1,"PROVIDER Rijksmuseum - Top Digital Objects","d0bc87ac7eb9034d02b9f93da3da73edba0bb8aa48dd14ad2f2596d0725eebe454","""error""=>"""", ""query""=>""Select year,month, value,image_url,title_url,title  from (Select split_part(ta.aggregation_level_value,'_',1) as year, split_part(ta.aggregation_level_value, '_',2) as month, sum(ta.value) as value,ta.aggregation_index, output_properties -> 'image_url' as image_url, output_properties -> 'title_url' as title_url, output_value as title, ROW_NUMBER() OVER (PARTITION BY  split_part(ta.aggregation_level_value,'_',1), split_part(ta.aggregation_level_value, '_',2) order by split_part(ta.aggregation_level_value,'_',1), split_part(ta.aggregation_level_value, '_',2), sum(value) desc) AS row  from core_time_aggregations ta, (Select o.id as output_id, o.key as output_key, o.value as output_value, o.properties as output_properties from impl_outputs o where o.impl_parent_id = 631 and genre='top_digital_objects') as b where ta.parent_id = b.output_id group by split_part(ta.aggregation_level_value,'_',1), split_part(ta.aggregation_level_value, '_',2), ta.aggregation_value_to_display, ta.metric,ta.aggregation_index, output_properties -> 'image_url', output_properties -> 'title_url', output_value order by split_part(ta.aggregation_level_value,'_',1), split_part(ta.aggregation_level_value, '_',2), value desc) as final_output where row < 25 and year::integer in (2014,2015,2016);"", ""format""=>""json"", ""method""=>""get"", ""number_of_rows""=>""568"", ""number_of_columns""=>""6"", ""refresh_frequency""=>""0""",,,"2015-12-02 14:15:21.990551","2016-03-09 08:22:53.403919","{}","{""year"":{""data_type"":""integer"",""d_or_m"":""m"",""data_distribution"":{""string"":0,""boolean"":0,""float"":0,""integer"":568,""date"":0,""blank"":0}},""month"":{""data_type"":""string"",""d_or_m"":""d"",""data_distribution"":{""string"":568,""boolean"":0,""float"":0,""integer"":0,""date"":0,""blank"":0}},""value"":{""data_type"":""integer"",""d_or_m"":""m"",""data_distribution"":{""string"":0,""boolean"":0,""float"":0,""integer"":568,""date"":0,""blank"":0}},""image_url"":{""data_type"":""string"",""d_or_m"":""d"",""data_distribution"":{""string"":568,""boolean"":0,""float"":0,""integer"":0,""date"":0,""blank"":0}},""title_url"":{""data_type"":""string"",""d_or_m"":""d"",""data_distribution"":{""string"":568,""boolean"":0,""float"":0,""integer"":0,""date"":0,""blank"":0}},""title"":{""data_type"":""string"",""d_or_m"":""d"",""data_distribution"":{""string"":568,""boolean"":0,""float"":0,""integer"":0,""date"":0,""blank"":0}}}","2016-03-09 08:22:53.402362","2016-03-09 08:22:53.355517",19,2.33078577917174,185001,"rijksmuseum-top-digital-objects",""
5417,1,1,"DATA PROVIDER DANS-KNAW - Reusables","944b4e95dbe0d4106cf8ee28ea483692f1ea6e73733d8812d39bbd89ea4750f245","""error""=>"""", ""query""=>""Select name, value as weight from core_time_aggregations INNER JOIN (Select id as impl_output_id, value as name from impl_outputs where impl_parent_id = 630 and genre = 'top_reusables') as io on parent_id = impl_output_id and parent_type = 'Impl::Output' where aggregation_level_value = '2016_March'"", ""format""=>""json"", ""method""=>""get"", ""number_of_rows""=>""1"", ""number_of_columns""=>""2"", ""refresh_frequency""=>""0""",,,"2015-12-10 21:47:56.508506","2016-03-09 10:46:48.00527","{}","{""name"":{""data_type"":""string"",""d_or_m"":""d"",""data_distribution"":{""string"":1,""boolean"":0,""float"":0,""integer"":0,""date"":0,""blank"":0}},""weight"":{""data_type"":""integer"",""d_or_m"":""m"",""data_distribution"":{""string"":0,""boolean"":0,""float"":0,""integer"":1,""date"":0,""blank"":0}}}","2016-03-09 10:46:48.004079","2015-12-10 21:49:42.041646",4,0.138307405,39,"dans-knaw-reusables",""
3910,1,1,"DATA PROVIDER Diputació de Barcelona - Reusables","fffe6d577bb549e96af5bf8741df6146f2adae09514398fb3e64c241f4edd76244","""error""=>"""", ""query""=>""Select name, value as weight from core_time_aggregations INNER JOIN (Select id as impl_output_id, value as name from impl_outputs where impl_parent_id = 145 and genre = 'top_reusables') as io on parent_id = impl_output_id and parent_type = 'Impl::Output' where aggregation_level_value = '2016_March'"", ""format""=>""json"", ""method""=>""get"", ""number_of_rows""=>""1"", ""number_of_columns""=>""2"", ""refresh_frequency""=>""0""",,,"2015-12-10 09:34:03.284561","2016-03-09 11:18:34.171509","{}","{""name"":{""data_type"":""string"",""d_or_m"":""d"",""data_distribution"":{""string"":1,""boolean"":0,""float"":0,""integer"":0,""date"":0,""blank"":0}},""weight"":{""data_type"":""integer"",""d_or_m"":""m"",""data_distribution"":{""string"":0,""boolean"":0,""float"":0,""integer"":1,""date"":0,""blank"":0}}}","2016-03-09 11:18:34.170197","2016-02-08 21:29:29.665674",13,0.640949306419444,39,"diputacio-de-barcelona-reusables",""
5404,1,1,"DATA PROVIDER DANS-KNAW - Top Digital Objects","a3faf4b36f2c3d5fb803aec78d98bbe18aad145954677f3b5c55e615dc1d05d112","""error""=>"""", ""query""=>""Select year,month, value,image_url,title_url,title  from (Select split_part(ta.aggregation_level_value,'_',1) as year, split_part(ta.aggregation_level_value, '_',2) as month, sum(ta.value) as value,ta.aggregation_index, output_properties -> 'image_url' as image_url, output_properties -> 'title_url' as title_url, output_value as title, ROW_NUMBER() OVER (PARTITION BY  split_part(ta.aggregation_level_value,'_',1), split_part(ta.aggregation_level_value, '_',2) order by split_part(ta.aggregation_level_value,'_',1), split_part(ta.aggregation_level_value, '_',2), sum(value) desc) AS row  from core_time_aggregations ta, (Select o.id as output_id, o.key as output_key, o.value as output_value, o.properties as output_properties from impl_outputs o where o.impl_parent_id = 630 and genre='top_digital_objects') as b where ta.parent_id = b.output_id group by split_part(ta.aggregation_level_value,'_',1), split_part(ta.aggregation_level_value, '_',2), ta.aggregation_value_to_display, ta.metric,ta.aggregation_index, output_properties -> 'image_url', output_properties -> 'title_url', output_value order by split_part(ta.aggregation_level_value,'_',1), split_part(ta.aggregation_level_value, '_',2), value desc) as final_output where row < 25 and year::integer in (2014,2015,2016);"", ""format""=>""json"", ""method""=>""get"", ""number_of_rows""=>""57"", ""number_of_columns""=>""6"", ""refresh_frequency""=>""0""",,,"2015-12-10 21:47:56.425145","2016-03-09 10:46:48.012645","{}","{""year"":{""data_type"":""integer"",""d_or_m"":""m"",""data_distribution"":{""string"":0,""boolean"":0,""float"":0,""integer"":57,""date"":0,""blank"":0}},""month"":{""data_type"":""string"",""d_or_m"":""d"",""data_distribution"":{""string"":57,""boolean"":0,""float"":0,""integer"":0,""date"":0,""blank"":0}},""value"":{""data_type"":""integer"",""d_or_m"":""m"",""data_distribution"":{""string"":0,""boolean"":0,""float"":0,""integer"":57,""date"":0,""blank"":0}},""image_url"":{""data_type"":""string"",""d_or_m"":""d"",""data_distribution"":{""string"":57,""boolean"":0,""float"":0,""integer"":0,""date"":0,""blank"":0}},""title_url"":{""data_type"":""string"",""d_or_m"":""d"",""data_distribution"":{""string"":57,""boolean"":0,""float"":0,""integer"":0,""date"":0,""blank"":0}},""title"":{""data_type"":""string"",""d_or_m"":""d"",""data_distribution"":{""string"":57,""boolean"":0,""float"":0,""integer"":0,""date"":0,""blank"":0}}}","2016-03-09 10:46:48.011406","2016-03-09 10:46:47.999281",4,0.659621113333333,16731,"dans-knaw-top-digital-objects",""
